time_h,mode,T_btes_C,T_aria_C,Tw_in_C,Tw_out_C,Q_rtc_W,Q_dc_W,Q_solar_W,Q_dc_demand_W,T_dc_ret_C,Ta_C,Tb_C,Tc_C,Td_C,n_iter,mpc_best_reward,threshold_mode,threshold_reward,mpc_gain,mpc_changed,mpc_n_candidates
1260.0,charge,20.79653170629804,28.2,20.796531706298026,20.993007849406695,610.9513399080917,0.0,1706.6084999993475,0.0,28.2,44.41827353671897,22.39167284829483,21.921959109205204,21.248342191666666,2,3.9299772017962953,charge,3.9299772017962953,0.0,False,2
1261.0,charge,20.857101004514185,28.4,20.857101004514163,21.06780419387229,677.0500974660847,0.0,1688.9004999989631,0.0,28.4,46.128292305450145,22.576033683689673,21.926464087087595,21.2498442286701,2,3.317393146780937,charge,3.317393146780937,0.0,False,2
1262.0,charge,20.89649621997708,28.2,20.896496219977053,21.10822620100646,710.6639693849663,0.0,1516.2475000007141,0.0,28.2,46.1929447545682,22.636330850977004,21.932607318091527,21.251355108083942,2,2.6392674441940356,charge,2.6392674441940356,0.0,False,2
1263.0,charge,20.9052291134985,27.9,20.90522911349848,21.105892902242203,703.5990300997169,0.0,1272.762500000852,0.0,27.9,44.88529100192284,22.571254480067523,21.938444435179292,21.25287627236611,2,1.9282955278728109,charge,1.9282955278728109,0.0,False,2
1264.0,charge,20.887141832798253,27.6,20.88714183279825,21.065751249235348,657.6799726067104,0.0,914.1754999993296,0.0,27.6,42.141184365384106,22.385172789855176,21.942213629885202,21.25440504614278,2,1.2251352098807098,charge,1.2251352098807098,0.0,False,2
1265.0,charge,20.838701138355265,27.2,20.838701138355248,20.984030152561274,573.8074971280647,0.0,473.6889999995646,0.0,27.2,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,2,0.5738074971280647,charge,0.5738074971280647,0.0,False,2
1266.0,idle,20.4584219448307,26.6,,,0.0,0.0,0.0,0.0,26.6,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,0.0,idle,0.0,0.0,False,1
1267.0,idle,20.422353965302985,26.0,,,0.0,0.0,0.0,0.0,26.0,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,0.0,idle,0.0,0.0,False,1
1268.0,idle,20.399537182521982,25.5,,,0.0,0.0,0.0,0.0,25.5,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,0.0,idle,0.0,0.0,False,1
1269.0,idle,20.38327053992775,24.7,,,0.0,0.0,0.0,0.0,24.7,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,0.4683199826610588,idle,0.4683199826610588,0.0,False,1
1270.0,idle,20.371208844421464,24.3,,,0.0,0.0,0.0,0.0,24.3,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,0.9098028427422851,idle,0.9098028427422851,0.0,False,1
1271.0,idle,20.361847907239827,23.9,,,0.0,0.0,0.0,0.0,23.9,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,1.3494028550587447,idle,1.3494028550587447,0.0,False,1
1272.0,idle,20.35392509242714,23.7,,,0.0,0.0,0.0,0.0,23.7,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,1.8472591842926958,idle,1.8472591842926958,0.0,False,1
1273.0,idle,20.347393796448255,23.4,,,0.0,0.0,0.0,0.0,23.4,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,2.4059562627205,idle,2.4059562627205,0.0,False,1
1274.0,idle,20.341814797255402,23.6,,,0.0,0.0,0.0,0.0,23.6,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,3.014664132217474,idle,3.014664132217474,0.0,False,1
1275.0,idle,20.33703654847179,23.6,,,0.0,0.0,0.0,0.0,23.6,38.02666459376951,22.077359542071406,21.942158618138194,21.255934853600536,1,3.651526632819684,idle,3.651526632819684,0.0,False,1
